order_id,date,region,product_category,quantity,unit_price,total_amount
ORD10052,2026-06-03,Ankara,Stationery,1,90,90
ORD10053,2026-05-07,Ankara,Books,3,120,360
ORD10054,2026-03-05,Izmir,Stationery,2,90,180
ORD10055,2026-06-06,Izmir,Electronics,2,1500,3000
ORD10056,2026-05-21,Izmir,Clothing,4,600,2400
ORD10057,2026-06-25,Istanbul,Books,4,150,600
ORD10058,2026-03-19,Ankara,Clothing,3,600,1800
ORD10059,2026-04-01,Ankara,Books,2,150,300
ORD10060,2026-05-13,Izmir,Books,4,150,600
ORD10061,2026-05-12,Ankara,Stationery,4,45,180
ORD10062,2026-06-07,Istanbul,Clothing,2,850,1700
ORD10063,2026-05-10,Bursa,Electronics,2,3500,7000
ORD10064,2026-06-28,Izmir,Clothing,4,600,2400
ORD10065,2026-05-17,Izmir,Electronics,1,1500,1500
ORD10066,2026-04-12,Istanbul,Books,3,120,360
ORD10067,2026-04-03,Bursa,Stationery,3,45,135
ORD10068,2026-06-08,Bursa,Electronics,4,2000,8000
ORD10069,2026-06-22,Istanbul,Books,2,120,240
ORD10070,2026-03-03,Bursa,Electronics,2,3500,7000
ORD10071,2026-04-21,Istanbul,Stationery,3,45,135
ORD10072,2026-06-24,Istanbul,Electronics,4,1500,6000
ORD10073,2026-06-02,Ankara,Electronics,1,2000,2000
ORD10074,2026-05-04,Bursa,Clothing,3,450,1350
ORD10075,2026-03-19,Ankara,Electronics,3,2000,6000
ORD10076,2026-05-24,Istanbul,Books,3,150,450
ORD10077,2026-04-14,Ankara,Books,3,120,360
ORD10078,2026-05-09,Ankara,Electronics,1,2000,2000
ORD10079,2026-06-20,Ankara,Clothing,3,600,1800
ORD10080,2026-04-27,Izmir,Electronics,3,3500,10500
ORD10081,2026-05-14,Istanbul,Clothing,3,850,2550
ORD10082,2026-05-13,Ankara,Books,2,150,300
ORD10083,2026-04-07,Izmir,Electronics,3,1500,4500
ORD10084,2026-03-11,Bursa,Stationery,2,45,90
ORD10085,2026-06-12,Ankara,Electronics,2,3500,7000
ORD10086,2026-06-15,Izmir,Electronics,3,3500,10500
ORD10087,2026-05-12,Istanbul,Stationery,2,90,180
ORD10088,2026-05-16,Ankara,Stationery,1,90,90
ORD10089,2026-06-11,Istanbul,Stationery,3,60,180
ORD10090,2026-06-15,Istanbul,Clothing,4,600,2400
ORD10091,2026-06-15,Bursa,Stationery,1,90,90
ORD10092,2026-03-19,Ankara,Books,1,120,120
ORD10093,2026-06-04,Ankara,Books,1,120,120
ORD10094,2026-03-11,Ankara,Clothing,1,450,450
ORD10095,2026-03-15,Istanbul,Electronics,3,3500,10500
ORD10096,2026-06-23,Izmir,Clothing,1,450,450
ORD10097,2026-03-04,Bursa,Books,1,150,150
ORD10098,2026-06-08,Istanbul,Electronics,3,3500,10500
ORD10099,2026-03-21,Bursa,Stationery,3,45,135
ORD10100,2026-06-12,Ankara,Clothing,4,600,2400
ORD10101,2026-05-12,Ankara,Books,1,120,120
ORD10102,2026-05-02,Bursa,Electronics,4,2000,8000
ORD10103,2026-06-23,Izmir,Electronics,4,1500,6000
ORD10104,2026-05-02,Istanbul,Electronics,3,3500,10500
ORD10105,2026-06-13,Izmir,Clothing,1,450,450
ORD10106,2026-05-21,Izmir,Electronics,1,2000,2000
ORD10107,2026-04-07,Izmir,Clothing,1,600,600
ORD10108,2026-04-06,Bursa,Clothing,2,450,900
ORD10109,2026-04-01,Izmir,Electronics,2,1500,3000
ORD10110,2026-05-13,Istanbul,Stationery,4,60,240
ORD10111,2026-06-18,Izmir,Stationery,3,60,180
ORD10112,2026-04-01,Ankara,Electronics,1,2000,2000
ORD10113,2026-06-01,Bursa,Electronics,1,1500,1500
ORD10114,2026-06-09,Ankara,Stationery,2,60,120
ORD10115,2026-05-01,Ankara,Electronics,3,3500,10500
ORD10116,2026-06-12,Izmir,Clothing,3,600,1800
ORD10117,2026-03-20,Izmir,Stationery,3,90,270
ORD10118,2026-05-08,Ankara,Electronics,4,3500,14000
ORD10119,2026-05-11,Istanbul,Books,4,150,600
ORD10120,2026-06-20,Izmir,Stationery,1,60,60
